DATE,COUNT
2016-02-11,43.0
2016-02-12,41.0
2016-02-13,33.0
2016-02-14,26.0
2016-02-15,38.0
2016-02-16,52.0
2016-02-17,40.0
2016-02-18,50.0
2016-02-19,36.0
2016-02-20,15.0
2016-02-21,27.0
2016-02-22,39.0
2016-02-23,44.0
2016-02-24,52.0
2016-02-25,49.0
2016-02-26,47.0
2016-02-27,21.0
2016-02-28,33.0
2016-02-29,38.0
2016-03-01,47.0
2016-03-02,43.0
2016-03-03,89.0
2016-03-04,58.0
2016-03-05,45.0
2016-03-06,24.0
2016-03-07,46.0
2016-03-08,43.0
2016-03-09,35.0
2016-03-10,33.0
2016-03-11,43.0
2016-03-12,38.0
2016-03-13,38.0
2016-03-14,41.0
2016-03-15,35.0
2016-03-16,40.0
2016-03-17,38.0
2016-03-18,35.0
2016-03-19,63.0
2016-03-20,53.0
2016-03-21,48.0
2016-03-22,53.0
2016-03-23,31.0
2016-03-24,39.0
2016-03-25,50.0
2016-03-26,30.0
2016-03-27,35.0
2016-03-28,32.0
2016-03-29,49.0
2016-03-30,43.0
2016-03-31,38.0
2016-04-01,36.0
2016-04-02,40.0
2016-04-03,26.0
2016-04-04,41.0
2016-04-05,54.0
2016-04-06,36.0
2016-04-07,41.0
2016-04-08,35.0
2016-04-09,29.0
2016-04-10,35.0
2016-04-11,49.0
2016-04-12,36.0
2016-04-13,39.0
2016-04-14,22.0
2016-04-15,32.0
2016-04-16,35.0
2016-04-17,27.0
2016-04-18,36.0
2016-04-19,36.0
2016-04-20,37.0
2016-04-21,24.0
2016-04-22,22.0
2016-04-23,32.0
2016-04-24,30.0
2016-04-25,39.0
2016-04-26,45.0
2016-04-27,105.0
2016-04-28,79.0
2016-04-29,60.0
2016-04-30,17.0
2016-05-01,25.0
2016-05-02,27.0
2016-05-03,30.0
2016-05-04,29.0
2016-05-05,23.0
2016-05-06,29.0
2016-05-07,19.0
2016-05-08,20.0
2016-05-09,29.0
2016-05-10,47.0
2016-05-11,31.0
2016-05-12,36.0
2016-05-13,37.0
2016-05-14,23.0
2016-05-15,23.0
2016-05-16,32.0
2016-05-17,36.0
2016-05-18,44.0
2016-05-19,41.0
2016-05-20,36.0
2016-05-21,25.0
2016-05-22,29.0
2016-05-23,28.0
2016-05-24,34.0
2016-05-25,30.0
2016-05-26,43.0
2016-05-27,33.0
2016-05-28,22.0
2016-05-29,20.0
2016-05-30,36.0
2016-05-31,26.0
2016-06-01,30.0
2016-06-02,37.0
2016-06-03,37.0
2016-06-04,21.0
2016-06-05,31.0
2016-06-06,27.0
2016-06-07,152.0
2016-06-08,136.0
2016-06-09,173.0
2016-06-10,110.0
2016-06-11,22.0
2016-06-12,19.0
2016-06-13,31.0
2016-06-14,39.0
2016-06-15,24.0
2016-06-16,35.0
2016-06-17,15.0
2016-06-18,23.0
2016-06-19,29.0
2016-06-20,26.0
2016-06-21,35.0
2016-06-22,37.0
2016-06-23,37.0
2016-06-24,46.0
2016-06-25,30.0
2016-06-26,28.0
2016-06-27,47.0
2016-06-28,40.0
2016-06-29,33.0
2016-06-30,45.0
2016-07-01,35.0
2016-07-02,32.0
2016-07-03,27.0
2016-07-04,21.0
2016-07-05,25.0
2016-07-06,68.0
2016-07-07,38.0
2016-07-08,58.0
2016-07-09,39.0
2016-07-10,36.0
2016-07-11,56.0
2016-07-12,54.0
2016-07-13,39.0
2016-07-14,25.0
2016-07-15,35.0
2016-07-16,40.0
2016-07-17,41.0
2016-07-18,76.0
2016-07-19,145.0
2016-07-20,141.0
2016-07-21,126.0
2016-07-22,143.0
2016-07-23,126.0
2016-07-24,116.0
2016-07-25,113.0
2016-07-26,95.0
2016-07-27,112.0
2016-07-28,105.0
2016-07-29,93.0
2016-07-30,84.0
2016-07-31,95.0
2016-08-01,101.0
2016-08-02,91.0
2016-08-03,120.0
2016-08-04,110.0
2016-08-05,85.0
2016-08-06,89.0
2016-08-07,84.0
2016-08-08,102.0
2016-08-09,88.0
2016-08-10,111.0
2016-08-11,82.0
2016-08-12,104.0
2016-08-13,78.0
2016-08-14,82.0
2016-08-15,82.0
2016-08-16,118.0
2016-08-17,94.0
2016-08-18,97.0
2016-08-19,69.0
2016-08-20,80.0
2016-08-21,58.0
