GEO_ID,NAME,Population
860Z200US01109,01109,30968
860Z200US01118,01118,14296
860Z200US01119,01119,14393
860Z200US01128,01128,2647
860Z200US01129,01129,7024
860Z200US01144,01144,0
860Z200US01151,01151,9150
860Z200US01201,01201,45494
860Z200US01220,01220,8166
860Z200US01222,01222,835
860Z200US01223,01223,2430
860Z200US01224,01224,217
860Z200US01225,01225,3258
860Z200US01226,01226,6324
860Z200US01229,01229,189
860Z200US01230,01230,8907
860Z200US01235,01235,2733
860Z200US01236,01236,1513
860Z200US01237,01237,2365
860Z200US01238,01238,5722
860Z200US01240,01240,4692
860Z200US01242,01242,449
860Z200US01243,01243,175
860Z200US01244,01244,287
860Z200US01245,01245,933
860Z200US01247,01247,15147
860Z200US01253,01253,808
860Z200US01254,01254,946
860Z200US01255,01255,959
